method,split,intersection_count,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate
real_only,train,16,13373.836,228.1135,0.7261,20958.2023,0.5193,113.9996,0.1724
default_sim,train,16,18887.7373,312.5118,0.5672,20338.592,0.57,128.1918,0.2372
calibrated_sim,train,16,14771.3256,248.9438,0.6936,20896.2413,0.5341,118.395,0.1876
calibrated_sim_plus_domain_randomization,train,16,12882.4173,222.0254,0.7616,21144.0855,0.5058,112.1976,0.161
calibrated_sim_plus_opm,train,16,11213.5092,190.3348,0.8181,21288.6612,0.5003,110.2243,0.1165
calibrated_sim_plus_domain_randomization_plus_opm,train,16,8912.3025,156.8182,0.8802,21639.7737,0.4729,103.5336,0.0831
real_only,validation,2,16367.238,276.9164,0.7253,18014.3033,0.6458,141.9418,0.1772
default_sim,validation,2,22596.024,372.7056,0.5637,17510.4106,0.7043,158.4633,0.24
calibrated_sim,validation,2,17947.368,300.7136,0.6919,17963.914,0.6642,147.3115,0.193
calibrated_sim_plus_domain_randomization,validation,2,15768.9159,269.8746,0.7605,18165.4711,0.6303,139.9106,0.167
calibrated_sim_plus_opm,validation,2,13753.2941,233.4416,0.8166,18283.046,0.6242,137.6626,0.1254
calibrated_sim_plus_domain_randomization_plus_opm,validation,2,11210.8076,196.0739,0.8793,18568.5853,0.5915,129.6996,0.0931
real_only,test,25,13167.7693,224.1898,0.7261,20515.4255,0.4932,108.2789,0.1726
default_sim,test,25,18477.102,306.0328,0.5673,19910.2407,0.5412,121.7343,0.2373
calibrated_sim,test,25,14539.1535,244.6105,0.6936,20454.907,0.5073,112.4428,0.1878
calibrated_sim_plus_domain_randomization,test,25,12572.2484,217.2673,0.7617,20696.9809,0.4804,106.5699,0.1613
calibrated_sim_plus_opm,test,25,11060.2754,187.3664,0.8181,20838.1907,0.4752,104.6985,0.1169
calibrated_sim_plus_domain_randomization_plus_opm,test,25,8791.7131,154.456,0.8802,21181.1288,0.4492,98.3578,0.0836
